,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
9,0.3195775508880615,0.02250169229284151,0.0029921531677246094,0.0008927098805583082,logistic,1,"(10, 10)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (10, 10)}",0.43884892086330934,0.4881889763779528,0.44654088050314467,0.42857142857142855,0.45390070921985815,0.4512155633831629,0.020311293556605083,200,0.608318890814558,0.5974499089253188,0.6211072664359861,0.5662650602409639,0.6051188299817185,0.599651991279709,0.01835683325551526
10,0.37800207138061526,0.04724273044419937,0.0037943840026855467,0.00336967419616595,logistic,1,"(11, 11)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (11, 11)}",0.42857142857142855,0.5190839694656488,0.44755244755244755,0.43870967741935485,0.4888888888888889,0.4645536190694,0.034123249210431375,46,0.6088495575221239,0.6038834951456311,0.6156583629893239,0.5831739961759083,0.6060070671378092,0.6035144957941593,0.01091807117800235
11,0.4221254825592041,0.021553603605151857,0.004443359375,0.0037035666711902632,logistic,1,"(12, 12)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (12, 12)}",0.4489795918367347,0.4863013698630137,0.4621212121212121,0.42207792207792205,0.46,0.45590329419996845,0.02083727781002558,119,0.6048526863084922,0.6243093922651933,0.6467661691542289,0.6123499142367067,0.6432160804020101,0.6262988484733263,0.01651406991583698
12,0.42087879180908205,0.0294079283606141,0.0021941661834716797,0.0013231321681618138,logistic,1,"(13, 13)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (13, 13)}",0.4306569343065693,0.4728682170542636,0.427536231884058,0.3836477987421384,0.5206611570247934,0.447070977320477,0.04635303458430716,294,0.629695885509839,0.637546468401487,0.6314935064935064,0.6182902584493042,0.6218057921635435,0.627766382203536,0.006907822805365635
13,0.433591890335083,0.06874190128707987,0.004392766952514648,0.003925115170386849,logistic,1,"(14, 14)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (14, 14)}",0.4276315789473684,0.4791666666666667,0.4276315789473684,0.43670886075949367,0.49193548387096775,0.45260455522689197,0.027392643033807746,168,0.6341463414634146,0.6361974405850092,0.6354166666666666,0.5733082706766918,0.6,0.6158137438783564,0.025269125647859794
14,0.4451630115509033,0.06375119211557254,0.0025973796844482424,0.0038758051916578627,logistic,1,"(15, 15)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (15, 15)}",0.4482758620689655,0.48333333333333334,0.4489795918367347,0.45394736842105265,0.4413793103448276,0.455189386343155,0.014637207638308418,127,0.6262798634812287,0.6195856873822976,0.64,0.6003649635036497,0.6108949416342413,0.6194250912002834,0.0134639703334862
15,0.5199122905731202,0.15408385190633683,0.002798604965209961,0.003917658596983061,logistic,1,"(16, 16)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (16, 16)}",0.4676258992805755,0.5038759689922481,0.42038216560509556,0.4482758620689655,0.4892086330935252,0.46589192646222116,0.029557911732300712,38,0.6201413427561837,0.6390977443609023,0.6204506065857885,0.6162790697674418,0.61101243339254,0.6213962393725714,0.009484947202127813
16,0.5186573028564453,0.06916956835173661,0.003998470306396484,0.00489710603831482,logistic,1,"(17, 17)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (17, 17)}",0.45806451612903226,0.4852941176470588,0.424,0.41975308641975306,0.4589041095890411,0.4492267891580456,0.024400716516580042,240,0.6407599309153713,0.6045694200351494,0.6329787234042553,0.630648330058939,0.6373239436619719,0.6292560696151374,0.012826976450533753
17,0.5108295440673828,0.036209599892239104,0.004995918273925782,0.004468666962339233,logistic,1,"(18, 18)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (18, 18)}",0.42028985507246375,0.5614035087719298,0.45652173913043476,0.44805194805194803,0.47794117647058826,0.47283438399043803,0.048012385400918844,15,0.6223404255319149,0.6179337231968811,0.6156583629893239,0.6025408348457351,0.6021314387211367,0.6121209570569983,0.008274155485632222
18,0.48554582595825196,0.025635340780929383,0.0019989967346191405,0.003997993469238281,logistic,1,"(19, 19)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (19, 19)}",0.46808510638297873,0.46956521739130436,0.4444444444444444,0.3961038961038961,0.4393939393939394,0.4435515233192245,0.0266361565370634,387,0.6363636363636364,0.6011673151750972,0.5974955277280859,0.559748427672956,0.6176470588235294,0.602484393152661,0.025419267373002697
19,0.8188454151153565,0.08204844528262527,0.0019997596740722657,0.003999519348144531,logistic,1,"(20, 20)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (20, 20)}",0.43356643356643354,0.4732824427480916,0.4676258992805755,0.4723926380368098,0.48507462686567165,0.4663626179702725,0.017403482825871595,34,0.6049382716049383,0.6111111111111112,0.62,0.580896686159844,0.6072072072072072,0.6048306552166202,0.01302342199931658
20,0.7198249816894531,0.05076151499531658,0.004271411895751953,0.005249197348497048,logistic,1,"(21, 21)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (21, 21)}",0.4489795918367347,0.5037593984962406,0.41843971631205673,0.40606060606060607,0.44366197183098594,0.44421062469110345,0.03373145599656625,367,0.6324324324324324,0.6307977736549165,0.6138433515482696,0.5952380952380952,0.6057347670250897,0.6156092839797608,0.014347950903611156
21,0.6991058349609375,0.13442111750430824,0.0031913280487060546,0.0007469649684720855,logistic,1,"(22, 22)","{'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (22, 22)}",0.425531914893617,0.45864661654135336,0.4296875,0.4409937888198758,0.4772727272727273,0.446413529223606,0.019219386290647282,311,0.6375,0.6037037037037037,0.6030245746691871,0.6084558823529411,0.587360594795539,0.6080089511042742,0.016368601005525032
