danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,label,mode_major,mode_minor
0.699,0.601,0,-6.48,0.0304,0.0972,1.17e-05,0.562,0.434,98.04,4,saved,1,0
0.506,0.448,2,-12.294,0.215,0.707,0.0,0.0982,0.385,120.013,4,saved,0,1
0.665,0.771,0,-5.779,0.0533,0.0155,9.6e-06,0.46,0.764,109.945,4,saved,1,0
0.508,0.923,9,-6.587,0.0501,0.000748,0.978,0.683,0.32,124.643,4,saved,1,0
0.707,0.979,10,-3.207,0.0718,0.012,0.00137,0.735,0.702,113.963,4,saved,0,1
0.568,0.879,7,-3.965,0.421,0.272,0.0,0.192,0.24,152.118,4,saved,1,0
0.566,0.465,2,-11.714,0.235,0.0555,0.0,0.567,0.177,143.015,4,saved,1,0
0.713,0.419,1,-9.72,0.0334,0.351,0.0,0.12,0.893,122.717,4,saved,1,0
0.559,0.641,4,-6.118,0.0434,0.26,0.0,0.398,0.577,156.038,3,saved,1,0
0.654,0.76,0,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,4,saved,0,1
0.56,0.475,8,-9.05,0.173,0.718,2.18e-05,0.0994,0.308,84.899,4,saved,1,0
0.598,0.508,6,-11.373,0.111,0.451,7.09e-06,0.314,0.667,164.057,4,saved,0,1
0.685,0.597,0,-4.828,0.19,0.226,0.00177,0.12,0.371,90.677,4,saved,1,0
0.92,0.53,4,-7.399,0.341,0.187,0.0,0.103,0.363,123.968,4,saved,0,1
0.682,0.581,7,-10.339,0.0295,0.714,0.324,0.0802,0.539,108.981,4,saved,1,0
0.43,0.598,7,-6.797,0.338,0.0643,1.02e-06,0.245,0.495,175.573,4,saved,0,1
0.614,0.84,0,-3.291,0.0496,0.748,0.0,0.0531,0.497,131.76,3,saved,1,0
0.697,0.877,3,-4.465,0.0462,0.462,0.00943,0.083,0.802,101.99,4,saved,1,0
0.718,0.454,8,-9.012,0.127,0.153,4.6e-05,0.116,0.196,89.483,4,saved,1,0
0.879,0.617,1,-6.333,0.254,0.199,0.0,0.264,0.345,144.399,4,saved,1,0
0.69,0.324,9,-10.344,0.194,0.803,0.000669,0.0966,0.591,134.022,4,saved,1,0
0.699,0.543,0,-8.879,0.138,0.0411,1.26e-06,0.178,0.14,130.064,4,saved,1,0
0.488,0.91,8,-6.991,0.041,0.00209,0.0458,0.15,0.3,96.003,4,saved,1,0
0.572,0.868,4,-5.811,0.058,0.0457,0.0,0.204,0.491,128.142,4,saved,1,0
0.55,0.518,1,-8.949,0.0246,0.0162,0.0286,0.114,0.233,165.033,4,saved,0,1
0.78,0.745,7,-3.97,0.145,0.0559,0.0,0.0595,0.862,94.026,4,saved,1,0
0.483,0.412,7,-8.461,0.0402,0.737,0.0,0.116,0.247,170.163,3,saved,1,0
0.565,0.446,0,-9.26,0.0531,0.693,0.0,0.469,0.266,140.121,4,saved,0,1
0.405,0.619,11,-8.92,0.0615,0.162,0.000334,0.0788,0.234,120.092,4,saved,0,1
0.521,0.526,5,-6.032,0.0281,0.243,0.00537,0.108,0.502,130.694,4,saved,1,0
0.772,0.901,0,-3.568,0.0395,0.086,0.0,0.0761,0.842,116.042,4,saved,1,0
0.811,0.656,5,-6.349,0.193,0.0277,0.0,0.132,0.405,155.918,4,saved,0,1
0.416,0.459,9,-6.814,0.0317,0.0801,0.00653,0.0551,0.286,164.929,3,saved,0,1
0.547,0.56,5,-10.504,0.0421,0.848,8.21e-06,0.07,0.5,92.307,4,saved,0,1
0.67,0.515,1,-6.977,0.397,0.0705,0.0,0.25,0.422,122.006,4,saved,1,0
0.63,0.804,6,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146,4,saved,1,0
0.296,0.518,9,-9.571,0.0489,0.745,3.31e-05,0.462,0.0755,183.672,4,saved,0,1
0.689,0.694,6,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,4,saved,0,1
0.677,0.855,10,-4.517,0.247,0.038,0.0,0.103,0.483,74.965,4,saved,0,1
0.711,0.65,9,-7.186,0.191,0.0182,0.0,0.0948,0.386,95.814,4,saved,0,1
0.283,0.443,5,-5.377,0.0372,0.0929,3.36e-05,0.382,0.534,185.873,4,saved,1,0
0.532,0.529,0,-8.402,0.0352,0.334,0.000144,0.078,0.295,81.989,4,saved,1,0
0.829,0.362,0,-11.546,0.231,0.0608,0.0,0.135,0.369,122.912,4,saved,0,1
0.497,0.706,1,-6.455,0.0667,0.227,0.0,0.224,0.55,103.0,4,saved,1,0
0.886,0.629,1,-4.404,0.306,0.051,7.66e-06,0.121,0.487,158.002,4,saved,0,1
0.728,0.701,1,-6.58,0.0406,0.0945,2.08e-05,0.181,0.413,137.97,4,saved,1,0
0.491,0.867,6,-2.313,0.103,0.167,0.0,0.458,0.602,167.965,4,saved,0,1
0.714,0.731,11,-9.091,0.0335,0.745,0.000496,0.202,0.843,122.271,4,saved,0,1
0.567,0.648,1,-4.236,0.195,0.49,0.915,0.113,0.293,178.549,4,saved,0,1
0.49,0.79,5,-4.833,0.0699,0.0156,0.00118,0.219,0.285,149.903,4,saved,0,1
0.801,0.661,0,-7.55,0.214,0.869,0.0195,0.636,0.85,112.064,4,saved,1,0
0.495,0.603,7,-6.627,0.0312,0.238,0.0,0.213,0.727,135.476,4,saved,1,0
0.398,0.0662,3,-22.609,0.0401,0.991,0.909,0.113,0.326,80.364,3,saved,1,0
0.544,0.529,6,-6.753,0.0256,0.453,0.0,0.131,0.403,92.936,4,saved,1,0
0.627,0.86,7,-5.432,0.106,0.0644,0.0,0.18,0.778,155.023,4,saved,1,0
0.585,0.619,0,-7.04,0.0288,0.0945,0.0,0.079,0.326,86.166,4,saved,1,0
0.505,0.582,7,-7.844,0.146,0.0187,0.0,0.0659,0.371,145.99,4,saved,0,1
0.712,0.449,4,-9.765,0.631,0.275,0.0,0.201,0.555,170.075,4,saved,1,0
0.467,0.358,1,-10.847,0.0497,0.125,3.73e-05,0.111,0.166,136.02,4,saved,1,0
0.695,0.722,8,-4.013,0.0476,0.0476,0.0,0.323,0.238,119.988,4,saved,0,1
0.713,0.664,5,-7.245,0.264,0.336,0.0,0.231,0.413,136.107,4,saved,0,1
0.511,0.702,0,-5.84,0.17,0.439,0.154,0.115,0.276,109.753,4,saved,1,0
0.834,0.472,5,-7.777,0.0873,0.412,6.76e-05,0.0836,0.517,107.014,4,saved,0,1
0.594,0.858,9,-4.339,0.0387,0.00059,3.11e-06,0.0642,0.663,138.021,4,saved,1,0
0.776,0.445,9,-8.574,0.0371,0.212,0.00409,0.124,0.405,109.981,4,saved,1,0
0.519,0.897,7,-3.167,0.0276,0.0071,0.539,0.211,0.335,88.113,4,saved,0,1
0.885,0.664,0,-5.247,0.0802,0.141,0.0,0.336,0.366,124.944,4,saved,1,0
0.574,0.803,4,-3.17,0.186,0.102,4.15e-06,0.0861,0.647,97.967,4,saved,0,1
0.707,0.619,4,-9.143,0.409,0.671,0.0,0.123,0.317,88.955,4,saved,0,1
0.544,0.869,5,-8.363,0.0836,0.0746,1.27e-05,0.102,0.0647,104.622,4,saved,0,1
0.659,0.824,6,-4.483,0.0661,0.121,0.0,0.311,0.631,106.836,5,saved,1,0
0.578,0.865,5,-4.686,0.205,0.185,0.0,0.677,0.623,165.99,4,saved,0,1
0.827,0.631,11,-7.39,0.31,0.0837,0.0,0.387,0.501,103.945,4,saved,1,0
0.666,0.646,10,-6.918,0.82,0.232,0.0,0.0919,0.26,75.108,4,saved,0,1
0.552,0.82,3,-3.276,0.0382,0.041,7.71e-06,0.156,0.386,111.019,4,saved,0,1
0.447,0.592,6,-3.015,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,4,saved,0,1
0.384,0.465,0,-8.554,0.0341,0.29,2.22e-05,0.359,0.636,131.604,4,saved,1,0
0.331,0.523,5,-8.321,0.0375,0.227,0.00114,0.144,0.305,87.782,4,saved,1,0
0.559,0.889,8,-6.288,0.04,0.315,0.0,0.339,0.497,103.454,4,saved,1,0
0.717,0.49,11,-7.584,0.091,0.583,2.54e-06,0.323,0.169,135.02,4,saved,0,1
0.32,0.279,1,-11.605,0.0322,0.481,0.0,0.111,0.151,147.918,4,saved,1,0
0.665,0.498,5,-8.185,0.0831,0.228,0.0,0.0757,0.127,81.967,4,saved,1,0
0.67,0.7,1,-7.893,0.196,0.576,5.34e-06,0.226,0.648,69.986,4,saved,1,0
0.697,0.377,3,-7.755,0.0397,0.556,0.0,0.0999,0.336,138.754,4,saved,1,0
0.543,0.753,1,-7.395,0.287,0.227,0.0,0.106,0.183,90.535,4,saved,1,0
0.556,0.538,8,-5.408,0.0382,0.0689,0.0,0.196,0.291,143.95,4,saved,0,1
0.577,0.747,9,-4.948,0.0359,0.0241,0.0864,0.113,0.313,124.601,4,saved,1,0
0.799,0.502,6,-6.999,0.0792,0.503,3.93e-06,0.143,0.819,97.018,4,saved,1,0
0.677,0.623,2,-7.544,0.193,0.0287,8.88e-05,0.147,0.512,157.011,4,saved,1,0
0.883,0.583,7,-7.55,0.234,0.36,0.0,0.15,0.533,125.898,4,saved,0,1
0.615,0.549,2,-7.34,0.112,0.00954,0.000101,0.109,0.123,144.099,4,saved,1,0
0.475,0.513,8,-11.05,0.855,0.369,0.0,0.162,0.261,77.274,4,saved,0,1
0.62,0.69,7,-6.508,0.0493,0.0931,0.0,0.131,0.331,133.935,4,saved,1,0
0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,saved,1,0
0.696,0.583,3,-9.351,0.301,0.308,0.0,0.0964,0.524,137.079,4,saved,0,1
0.605,0.544,2,-11.37,0.0682,0.823,0.00579,0.338,0.797,115.779,4,saved,1,0
0.405,0.689,10,-5.75,0.0365,0.0843,0.0,0.207,0.397,155.189,4,saved,1,0
0.508,0.838,5,-5.82,0.106,0.0813,0.0,0.209,0.627,173.913,4,saved,1,0
0.477,0.52,9,-7.582,0.395,0.679,4.34e-06,0.0978,0.383,171.895,4,saved,1,0
0.723,0.773,1,-5.32,0.0355,0.245,2.07e-06,0.047,0.638,133.008,4,saved,1,0
0.561,0.0848,2,-15.099,0.0404,0.913,2.62e-05,0.112,0.206,102.128,4,saved,1,0
0.573,0.466,8,-8.972,0.042,0.459,2.2e-06,0.0485,0.713,121.063,4,saved,1,0
0.693,0.323,3,-11.97,0.0306,0.405,2.19e-05,0.149,0.669,129.964,4,saved,0,1
0.72,0.884,6,-10.656,0.0402,0.0766,0.119,0.0726,0.849,93.721,4,saved,0,1
0.465,0.267,0,-14.264,0.0315,0.734,0.678,0.205,0.0757,132.002,4,saved,1,0
0.677,0.806,2,-6.393,0.507,0.051,0.0,0.116,0.657,69.765,4,saved,1,0
0.758,0.482,6,-11.202,0.168,0.148,6.88e-06,0.135,0.0977,111.896,4,saved,0,1
0.762,0.822,0,-2.758,0.0425,0.0284,0.0,0.367,0.467,101.998,4,saved,1,0
0.665,0.967,7,-4.455,0.0581,0.000691,0.0,0.36,0.629,111.045,4,saved,1,0
0.67,0.879,6,-2.728,0.134,0.232,0.0,0.104,0.652,150.036,4,saved,1,0
0.749,0.702,0,-4.286,0.388,0.251,0.0,0.189,0.653,157.981,4,saved,1,0
0.642,0.79,11,-6.8,0.0681,0.151,0.000583,0.305,0.613,114.96,4,saved,0,1
0.621,0.74,8,-6.925,0.034,0.0244,0.00219,0.174,0.349,119.993,4,saved,1,0
0.609,0.655,1,-7.985,0.507,0.105,0.0,0.0939,0.316,160.415,4,saved,0,1
0.758,0.526,5,-10.81,0.255,0.509,0.000467,0.0913,0.312,146.054,4,saved,0,1
0.296,0.781,6,-7.148,0.451,0.0377,0.0,0.805,0.367,77.27,4,saved,1,0
0.374,0.758,3,-7.566,0.305,0.199,0.0,0.144,0.535,83.821,4,saved,0,1
